"sub_genre","avg_rating_sub","avg_reviews_sub"
"Spirituality / Religion",4.26,7783
"Cooking / Food",4.26,4966
"Climate Fiction",4.28,8109
"Politics / Society",4.29,6192
"Biography",4.29,9071
"Gift / Journal",4.35,8744
"Business / Leadership",4.35,6299
"True Crime",4.36,2872
"Activity / Coloring",4.37,10408
"Memoir",4.37,7144
"Contemporary Romance",4.38,38248
"Crime / Detective",4.38,3965
"Self-Help",4.39,18749
"History",4.39,4475
"Psychological Thriller",4.40,20005
"Literary Fiction",4.40,28649
"Personal Finance",4.40,18194
"Celebrity Memoir",4.41,13395
"Horror",4.41,4072
"Historical Fiction",4.41,29313
"YA Romance",4.42,10516
"Middle Grade",4.42,6375
"Fantasy",4.43,8738
"Space Opera",4.43,7698
"Psychology / Health",4.43,14716
"Science / Nature",4.44,17104
"Parenting",4.44,3615
"Graphic Novel",4.44,11766
"Science Fiction",4.44,17350
"Health / Longevity",4.45,15272
"Business / Finance",4.46,14210
"Cozy Mystery",4.46,3161
"Children's Picture Book",4.47,7591
"Dark Romance",4.47,10238
"Paranormal Romance",4.48,2723
"Creativity / Art",4.48,4327
"Productivity",4.49,9923
"Romantasy",4.49,21867
"Psychology / Society",4.50,18000
"Urban Fantasy",4.52,6787
"True Crime / History",4.60,55000
"History / Adventure",4.60,28000
"Business / Psychology",4.60,40000
"YA Dystopian",4.60,10369
"Art / Activity",4.70,14000
"Self-Help / Productivity",4.80,120000
"Self-Help / Memoir",4.80,72000
"Children's / Graphic Novel",4.90,12000
